"ChEMBL ID;    ""Name"";""Synonyms"";""Type"";""Max Phase"";""Molecular Weight"";""Targets"";""Bioactivities"";""AlogP"";""Polar Surface Area"";""HBA"";""HBD"";""#RO5 Violations"";""#Rotatable Bonds"";""Passes Ro3"";""QED Weighted"";""CX Acidic pKa"";""CX Basic pKa"";""CX LogP"";""CX LogD"";""Aromatic Rings"";""Structure Type"";""Inorganic Flag"";""Heavy Atoms"";""HBA (Lipinski)"";""HBD (Lipinski)"";""#RO5 Violations (Lipinski)"";""Molecular Weight (Monoisotopic)"";""Np Likeness Score"";""Molecular Species"";""Molecular Formula"";""Smiles"";""Inchi Key""",,,,,,,,,,,,,
"CHEMBL2068408;""SILICATE"";""Silicate"";""Small molecule"";""4.0"";""78.10"";""5"";""5"";""None"";""None"";""None"";""None"";""None"";""None"";""None"";""None"";""None"";""None"";""None"";""None"";""None"";""MOL"";""1"";""None"";""None"";""None"";""None"";""77.9773"";""None"";""None"";""H2O3Si"";""O=[Si](O)O"";""IJKVHSBPTUYDLN-UHFFFAOYSA-N""",,,,,,,,,,,,,
"CHEMBL165790;""IPRIFLAVONE"";""7-ISOPROPOXYISOFLAVONE|IPRIFLAVONE|NSC-755888|OSTEN|OSTIVONE"";""Small molecule"";""-1.0"";""280.32"";""158"";""659"";""4.25"";""39.44"";""3"";""0"";""0"";""3"";""N"";""0.72"";""None"";""None"";""3.95"";""3.95"";""3"";""MOL"";""0"";""21"";""3"";""0"";""0"";""280.1099"";""-0.08"";""NEUTRAL"";""C18H16O3"";""CC(C)Oc1ccc2c(=O)c(-c3ccccc3)coc2c1"";""SFBODOKJTYAUCM-UHFFFAOYSA-N""",,,,,,,,,,,,,
"CHEMBL2109133;""MAGNESIUM SILICATE"";""E-553(I)|INS NO.553(I)|INS-553(I)|MAGNESIUM HYDROSILICATE|MAGNESIUM SILICATE|MAGNESIUM SILICATE (TALC)|MAGNESIUM SILICATE", SYNTHETIC|SILICIC ACID," MAGNESIUM SALT"";""Unknown"";""2.0"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""NONE"";""0"";"""";"""";"""";"""";"""";"""";"""";"""";"""";""""",,,,,,,,,,,
"CHEMBL2107955;""POLIXETONIUM CHLORIDE"";""ARMOBLEN NPX|BL 2142|BUALTA|BUBOND 60|BULAB 6002|BUSAN 1507|BUSAN 77|KA 1700|MBC 115|POLIXETONIUM CHLORIDE|POLYQUATERNIUM 42|TB 66"";""Small molecule"";""-1.0"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""NONE"";""0"";"""";"""";"""";"""";"""";"""";"""";"""";"""";""""",,,,,,,,,,,,,
"CHEMBL24686;""TERRITREM B"";"""";""Small molecule"";"""";""526.58"";""3"";""8"";""3.45"";""124.66"";""9"";""2"";""1"";""4"";""N"";""0.62"";""12.89"";""None"";""2.51"";""2.51"";""2"";""MOL"";""-1"";""38"";""9"";""2"";""1"";""526.2203"";""1.91"";""NEUTRAL"";""C29H34O9"";""COc1cc(-c2cc3c(c(=O)o2)C[C@]2(O)[C@@]4(C)C(=O)C=CC(C)(C)[C@]4(O)CC[C@@]2(C)O3)cc(OC)c1OC"";""PBXNNDFKPQPJBB-VJLHXPKFSA-N""",,,,,,,,,,,,,
"CHEMBL253592;""CAMYLOFIN"";""ACAMYLOPHENINE|ACAMYLOPHENINE HYDROCHLORIDE|ANAFORTAN|CAMYLOFIN"";""Small molecule"";""-1.0"";""320.48"";""8"";""22"";""3.25"";""41.57"";""4"";""1"";""0"";""11"";""N"";""0.64"";""None"";""8.79"";""3.71"";""2.31"";""1"";""MOL"";""0"";""23"";""4"";""1"";""0"";""320.2464"";""-0.85"";""BASE"";""C19H32N2O2"";""CCN(CC)CCNC(C(=O)OCCC(C)C)c1ccccc1"";""RYOOHIUJEJZCFT-UHFFFAOYSA-N""",,,,,,,,,,,,,
"CHEMBL30008;""FLUNARIZINE"";""FLUNARIZINE"";""Small molecule"";""4.0"";""404.50"";""160"";""742"";""5.39"";""6.48"";""2"";""0"";""1"";""6"";""N"";""0.54"";""None"";""7.22"";""6.17"";""5.94"";""3"";""MOL"";""0"";""30"";""2"";""0"";""1"";""404.2064"";""-0.98"";""NEUTRAL"";""C26H26F2N2"";""Fc1ccc(C(c2ccc(F)cc2)N2CCN(C/C=C/c3ccccc3)CC2)cc1"";""SMANXXCATUTDDT-QPJJXVBHSA-N""",,,,,,,,,,,,,
"CHEMBL2103849;""UDENAFIL"";""DA-8159|UDENAFIL|ZYDENA"";""Small molecule"";""3.0"";""516.67"";""1"";""1"";""2.83"";""122.21"";""8"";""2"";""1"";""11"";""N"";""0.40"";""7.55"";""8.50"";""1.44"";""1.20"";""3"";""MOL"";""0"";""36"";""10"";""2"";""1"";""516.2519"";""-1.17"";""NEUTRAL"";""C25H36N6O4S"";""CCCOc1ccc(S(=O)(=O)NCCC2CCCN2C)cc1-c1nc2c(CCC)nn(C)c2c(=O)[nH]1"";""IYFNEFQTYQPVOC-UHFFFAOYSA-N""",,,,,,,,,,,,,
"CHEMBL1743049;""OLARATUMAB"";""IMC-3G3|IMC3G3|LARTRUVO|OLARATUMAB"";""Antibody"";""4.0"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""SEQ"";""0"";"""";"""";"""";"""";"""";"""";"""";"""";"""";""""",,,,,,,,,,,,,
"CHEMBL3707276;""VOSORITIDE"";""BMN 111|BMN-111|VOSORITIDE|VOXZOGO"";""Protein"";""4.0"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""SEQ"";""0"";"""";"""";"""";"""";"""";"""";"""";"""";"""";""""",,,,,,,,,,,,,
